Lou Williams\willilo02;2018-19;32;LAC;75,0;5,1;1,0;26,6;6,5;15,2;5,1;11,3;1,4;3,9;5,7;6,5;3,0;5,4;0,8;0,1;2,4;1,1;20,0;0;0;0;1;0
Reggie Jackson\jacksre01;2018-19;28;DET;82,0;5,0;82,0;27,9;5,4;12,8;3,3;7,0;2,1;5,7;2,5;2,9;2,6;4,2;0,7;0,1;1,8;2,5;15,4;0;0;0;0;0
Donovan Mitchell\mitchdo01;2018-19;22;UTA;77,0;5,0;77,0;33,7;8,6;19,9;6,1;13,1;2,4;6,7;4,1;5,1;4,1;4,2;1,4;0,4;2,8;2,7;23,8;0;0;0;0;0
D'Angelo Russell\russeda01;2018-19;22;BRK;81,0;5,0;81,0;30,2;8,1;18,7;5,2;10,9;2,9;7,8;2,0;2,5;3,9;7,0;1,2;0,2;3,1;1,7;21,1;0;0;0;0;0
Jayson Tatum\tatumja01;2018-19;20;BOS;79,0;5,0;79,0;31,1;5,9;13,1;4,4;9,2;1,5;3,9;2,5;2,9;6,0;2,1;1,1;0,7;1,5;2,1;15,7;0;0;0;0;0
P.J. Tucker\tuckepj01;2018-19;33;HOU;82,0;5,0;82,0;34,2;2,5;6,4;0,7;1,7;1,8;4,7;0,5;0,7;5,8;1,2;1,6;0,5;0,8;3,1;7,3;0;0;0;0;0
Luka DonŸi†\doncilu01;2018-19;19;DAL;72,0;4,9;72,0;32,2;7,0;16,5;4,7;9,3;2,3;7,1;4,8;6,7;7,8;6,0;1,1;0,3;3,4;1,9;21,2;0;1;0;0;0
Gordon Hayward\haywago01;2018-19;28;BOS;72,0;4,9;18,0;25,9;4,1;8,8;3,0;5,6;1,1;3,2;2,2;2,6;4,5;3,4;0,9;0,3;1,5;1,4;11,5;0;0;0;0;0
Larry Nance\nancela02;2018-19;26;CLE;67,0;4,9;30,0;26,8;3,7;7,1;3,2;5,7;0,5;1,5;1,4;2,0;8,2;3,2;1,5;0,6;1,4;2,9;9,4;0;0;0;0;0
Patrick Beverley\beverpa01;2018-19;30;LAC;78,0;4,8;49,0;27,4;2,5;6,1;1,1;2,5;1,4;3,6;1,2;1,6;5,0;3,8;0,9;0,6;1,1;3,4;7,6;0;0;0;0;0
Spencer Dinwiddie\dinwisp01;2018-19;25;BRK;68,0;4,8;4,0;28,1;5,4;12,2;3,6;6,7;1,8;5,4;4,2;5,2;2,4;4,6;0,6;0,3;2,2;2,8;16,8;0;0;0;0;0
Kelly Olynyk\olynyke01;2018-19;27;MIA;79,0;4,7;36,0;22,9;3,3;7,1;1,9;3,1;1,4;4,0;1,9;2,3;4,7;1,8;0,7;0,5;1,4;2,3;10,0;0;0;0;0;0
